epoch,HR@10,NDCG@10,loss,run
11,0.6638,0.3951,0.2073,8
12,0.6628,0.3878,0.2049,8
13,0.6628,0.3904,0.2027,8
14,0.6585,0.3876,0.2008,8
15,0.6501,0.3869,0.1991,8
16,0.6416,0.3812,0.1972,8
17,0.6617,0.3892,0.1955,8
18,0.6638,0.3879,0.1937,8
19,0.6522,0.3824,0.1933,8
20,0.6585,0.3895,0.192,8
21,0.6554,0.3842,0.1904,8
22,0.6575,0.3847,0.1893,8
23,0.6522,0.3815,0.1877,8
24,0.6479,0.3783,0.1867,8
25,0.6522,0.3842,0.1859,8
26,0.6469,0.3832,0.185,8
27,0.6416,0.382,0.1845,8
28,0.6384,0.3759,0.184,8
29,0.6352,0.3709,0.1824,8
30,0.6416,0.3749,0.1818,8
31,0.6448,0.3806,0.1814,8
32,0.6405,0.376,0.1806,8
33,0.6384,0.372,0.1803,8
34,0.6373,0.377,0.1786,8
35,0.6458,0.3815,0.1776,8
36,0.6448,0.3797,0.1769,8
37,0.6363,0.3776,0.1763,8
38,0.6373,0.3779,0.1757,8
39,0.6352,0.3735,0.1754,8
40,0.6278,0.3743,0.1747,8
41,0.6469,0.3731,0.1732,8
42,0.6458,0.3768,0.1733,8
43,0.6426,0.3727,0.1728,8
44,0.6214,0.3675,0.1721,8
45,0.632,0.3712,0.1716,8
46,0.6437,0.378,0.1707,8
47,0.6373,0.3738,0.1706,8
48,0.6416,0.3708,0.17,8
49,0.6405,0.3749,0.1696,8
50,0.6437,0.3785,0.1683,8
0,0.106,0.0478,,9
1,0.4931,0.2911,0.3724,9
2,0.5875,0.3317,0.2926,9
3,0.6204,0.3547,0.2653,9
4,0.6596,0.3725,0.2495,9
5,0.6638,0.3749,0.2394,9
6,0.6543,0.3718,0.2311,9
7,0.6543,0.38,0.2256,9
8,0.6564,0.3758,0.22,9
9,0.6607,0.3808,0.2164,9
10,0.6575,0.3834,0.2119,9
11,0.667,0.3831,0.2101,9
12,0.6691,0.3866,0.2075,9
13,0.666,0.3783,0.2059,9
14,0.6691,0.3808,0.2039,9
15,0.666,0.3807,0.2027,9
16,0.6596,0.3817,0.2003,9
17,0.6638,0.3817,0.1993,9
18,0.6522,0.3815,0.1988,9
19,0.6522,0.3777,0.1967,9
20,0.6554,0.3749,0.1946,9
21,0.6469,0.3736,0.1946,9
22,0.6554,0.3775,0.1931,9
23,0.6437,0.373,0.1921,9
24,0.6575,0.3741,0.1903,9
25,0.6543,0.377,0.1893,9
26,0.6458,0.3749,0.1885,9
27,0.6564,0.3852,0.1882,9
28,0.6448,0.3768,0.1861,9
29,0.6416,0.3754,0.1862,9
30,0.6479,0.3757,0.1843,9
31,0.6543,0.3809,0.184,9
32,0.6437,0.3774,0.1834,9
33,0.6522,0.3765,0.1825,9
34,0.6479,0.3751,0.1807,9
35,0.6373,0.3706,0.1807,9
36,0.6554,0.3739,0.1791,9
37,0.6532,0.3778,0.1789,9
38,0.6448,0.376,0.1774,9
39,0.649,0.373,0.1775,9
40,0.6479,0.376,0.1765,9
41,0.649,0.3765,0.1756,9
42,0.631,0.363,0.1754,9
43,0.6352,0.3711,0.1744,9
44,0.631,0.3682,0.174,9
45,0.6458,0.3698,0.173,9
46,0.6458,0.364,0.1724,9
47,0.6394,0.3658,0.1718,9
48,0.6373,0.3684,0.1716,9
49,0.6204,0.3611,0.1709,9
50,0.6394,0.3655,0.1711,9
0,0.1209,0.0531,,10
1,0.5037,0.2901,0.3729,10
2,0.5875,0.3366,0.2879,10
3,0.6182,0.3516,0.263,10
4,0.6363,0.3675,0.2491,10
5,0.6458,0.375,0.2383,10
6,0.6691,0.3836,0.23,10
7,0.6575,0.3864,0.2239,10
8,0.6564,0.3851,0.2181,10
9,0.6713,0.3876,0.2149,10
10,0.6681,0.3878,0.2115,10
11,0.6691,0.3883,0.2083,10
12,0.6723,0.3954,0.2058,10
13,0.6691,0.3923,0.2033,10
14,0.6575,0.3851,0.2022,10
15,0.666,0.3847,0.2004,10
16,0.6607,0.3833,0.1982,10
17,0.6596,0.3827,0.1977,10
18,0.6501,0.3815,0.1956,10
19,0.6448,0.3818,0.1949,10
20,0.6501,0.3815,0.1927,10
21,0.6479,0.3784,0.192,10
22,0.6543,0.3801,0.1905,10
23,0.6437,0.3807,0.1897,10
24,0.6405,0.3799,0.1889,10
25,0.6331,0.3771,0.1875,10
26,0.6299,0.3769,0.1872,10
27,0.6352,0.376,0.1864,10
28,0.6426,0.3815,0.1849,10
29,0.6394,0.3808,0.184,10
30,0.6363,0.3785,0.1833,10
31,0.6352,0.3762,0.1829,10
32,0.6405,0.3779,0.1819,10
33,0.6384,0.381,0.181,10
34,0.6405,0.3794,0.1806,10
35,0.6384,0.3782,0.1793,10
36,0.6341,0.3781,0.179,10
37,0.632,0.3744,0.1785,10
38,0.6373,0.3729,0.177,10
39,0.6235,0.3697,0.1765,10
40,0.6384,0.374,0.176,10
41,0.631,0.3724,0.1756,10
42,0.6384,0.3727,0.1749,10
43,0.6341,0.3747,0.1745,10
44,0.6288,0.3721,0.1738,10
45,0.6384,0.3757,0.1732,10
46,0.6479,0.376,0.1718,10
47,0.6394,0.3717,0.1715,10
48,0.6299,0.3716,0.1713,10
49,0.6341,0.3712,0.1704,10
50,0.6214,0.3703,0.1707,10
